,Country,EdLevel,YearsCodePro,Salary
589,17,0,1.0,55000.0
592,8,1,10.0,41592.0
594,9,2,6.0,86040.0
595,17,1,15.0,125000.0
596,17,1,31.0,200000.0
598,9,0,5.0,18024.0
599,17,2,18.0,160000.0
602,17,1,12.0,110000.0
604,17,2,2.0,250000.0
605,16,1,7.0,71614.0
606,17,2,26.0,400000.0
608,9,2,15.0,69744.0
609,17,2,4.0,82000.0
610,17,0,8.0,125000.0
611,17,0,25.0,150000.0
612,17,0,7.0,180000.0
613,14,2,1.0,93078.0
614,17,1,17.0,310000.0
616,9,2,17.0,93540.0
617,17,2,20.0,140000.0
618,17,0,21.0,95000.0
619,9,2,6.0,76788.0
621,17,0,7.0,125000.0
622,16,1,2.0,32666.0
624,9,0,15.0,115000.0
629,8,2,2.0,154633.0
630,3,0,5.0,121030.0
632,16,0,3.0,62820.0
633,9,2,16.0,66948.0
634,10,2,12.0,77700.0
636,5,0,10.0,90647.0
637,16,0,16.0,59679.0
638,8,2,21.0,159950.0
640,5,3,10.0,95979.0
642,16,2,6.0,72243.0
643,3,0,15.0,117126.0
645,9,0,6.0,8184.0
647,9,0,9.0,36240.0
650,17,0,10.0,265000.0
652,5,1,5.0,486300.0
653,9,0,2.0,29436.0
654,16,0,2.0,44853.0
655,17,1,12.0,135000.0
657,5,2,5.0,65268.0
658,17,0,2.0,110000.0
660,17,0,7.0,75000.0
662,2,1,1.0,112176.0
663,17,0,23.0,120000.0
665,17,0,6.0,120000.0
667,9,2,17.0,55000.0
668,9,2,6.0,23352.0
669,12,3,22.0,53322.0
671,17,1,8.0,114000.0
673,17,2,25.0,161000.0
674,17,2,11.0,175000.0
675,17,1,20.0,172000.0
678,3,1,11.0,105414.0
683,5,1,3.0,63984.0
684,17,0,4.0,400000.0
689,17,0,8.0,62000.0
693,17,0,0.5,297000.0
695,9,0,1.0,17568.0
696,10,0,13.0,110000.0
698,5,0,11.0,69318.0
699,16,0,5.0,87948.0
702,17,0,15.0,200000.0
704,1,3,30.0,159966.0
707,17,0,2.0,75000.0
708,16,2,2.0,41461.0
709,17,0,5.0,125000.0
712,17,1,4.0,85000.0
718,17,1,14.0,51000.0
722,4,2,7.0,49908.0
723,5,0,7.0,110568.0
724,17,1,6.0,120000.0
727,3,0,5.0,149922.0
729,9,1,25.0,114708.0
730,16,1,8.0,113075.0
734,17,2,10.0,225000.0
736,17,0,10.0,220000.0
737,17,1,11.0,180000.0
740,17,0,5.0,105000.0
745,12,0,16.0,358320.0
746,9,2,5.0,165000.0
747,5,0,5.0,95979.0
749,12,1,22.0,44790.0
751,3,0,8.0,166319.0
753,2,1,34.0,13212.0
756,12,3,10.0,37325.0
757,16,2,6.0,62820.0
758,17,0,6.0,460000.0
759,17,0,4.0,120000.0
761,11,0,3.0,103908.0
762,9,0,8.0,18060.0
763,17,0,9.0,120000.0
764,17,2,3.0,120000.0
766,2,1,3.0,14208.0
767,16,0,4.0,75384.0
768,9,1,12.0,186670.0
769,1,1,13.0,79983.0
771,16,2,1.0,542760.0
772,9,0,10.0,43524.0
773,17,0,8.0,162000.0
774,16,1,10.0,175895.0
775,17,1,2.0,115000.0
776,9,0,8.0,64500.0
777,9,0,2.0,66371.0
780,17,2,12.0,250000.0
781,17,0,6.0,160000.0
782,6,0,2.0,28374.0
784,17,0,12.0,160000.0
787,17,0,1.0,145.0
788,16,0,16.0,125639.0
790,16,0,3.0,55910.0
792,3,1,6.0,163977.0
795,17,1,13.0,88000.0
796,17,0,9.0,350000.0
797,9,0,2.0,72480.0
799,8,1,6.0,31993.0
800,0,0,3.0,849252.0
801,10,2,9.0,69372.0
802,9,1,2.0,3264.0
804,14,2,15.0,279233.0
805,9,0,12.0,57156.0
806,17,0,6.0,142500.0
807,4,2,2.0,639864.0
809,16,1,20.0,87948.0
810,5,2,18.0,127968.0
811,9,2,27.0,111840.0
816,9,1,5.0,11244.0
818,17,3,20.0,134000.0
819,5,0,4.0,60040.0
820,17,1,6.0,175000.0
821,9,0,8.0,77688.0
823,5,1,17.0,74651.0
826,17,3,7.0,100000.0
828,4,2,4.0,38392.0
829,9,2,13.0,43584.0
832,4,2,1.0,49056.0
834,3,0,4.0,200000.0
838,16,0,10.0,138203.0
839,17,0,4.0,150000.0
842,17,0,8.0,147000.0
843,17,1,10.0,165000.0
844,2,0,5.0,16200.0
845,7,1,12.0,36259.0
852,12,2,20.0,473496.0
853,6,2,6.0,24118.0
854,17,0,8.0,140000.0
855,17,0,7.0,116000.0
857,17,0,10.0,155000.0
858,17,0,16.0,175000.0
860,17,1,3.0,135000.0
868,17,0,2.0,140000.0
869,13,1,10.0,75576.0
870,17,0,4.0,61000.0
871,17,0,24.0,178000.0
877,16,2,7.0,125639.0
878,17,3,10.0,160000.0
879,17,0,2.0,89000.0
881,17,1,0.5,50000.0
882,17,0,13.0,185000.0
883,16,0,16.0,100511.0
884,17,0,3.0,90000.0
887,4,2,2.0,30713.0
889,2,1,3.0,5736.0
891,17,0,6.0,320000.0
892,17,1,7.0,62500.0
895,17,0,3.0,105000.0
897,9,0,1.0,39276.0
902,16,0,9.0,182177.0
908,17,2,11.0,180000.0
916,9,0,2.0,8976.0
917,9,0,3.0,67409.0
919,9,2,6.0,9672.0
920,17,0,6.0,80000.0
923,16,0,7.0,69102.0
925,17,1,1.0,128750.0
926,5,1,4.0,34126.0
927,17,0,3.0,170000.0
928,17,1,8.0,125000.0
930,17,0,4.0,80000.0
935,16,1,3.0,45858.0
936,9,0,7.0,63986.0
939,17,1,4.0,170000.0
940,13,1,35.0,65820.0
941,6,0,8.0,77383.0
943,17,1,4.0,100000.0
944,9,0,10.0,103705.0
947,17,0,0.5,120000.0
949,17,1,13.0,200000.0
950,17,0,2.0,165000.0
951,9,2,2.0,77436.0
953,9,0,10.0,46872.0
954,16,1,25.0,163331.0
955,14,3,15.0,134445.0
956,9,2,23.0,117168.0
957,9,1,0.5,50200.0
958,0,3,20.0,99080.0
959,6,0,6.0,51589.0
961,9,0,10.0,125544.0
963,17,0,7.0,250000.0
965,9,1,14.0,30300.0
966,17,1,3.0,95000.0
967,9,0,9.0,33924.0
968,4,0,18.0,33603.0
969,10,0,3.0,31908.0
970,17,1,9.0,81000.0
971,17,0,7.0,80000.0
976,17,2,0.5,105000.0
977,16,0,2.0,37692.0
979,17,0,10.0,175000.0
980,9,1,4.0,53748.0
981,8,0,6.0,83184.0
984,17,0,6.0,120000.0
985,9,0,12.0,74651.0
987,17,2,14.0,195000.0
988,12,2,7.0,69318.0
989,9,1,23.0,157836.0
992,9,1,14.0,316608.0
993,13,0,20.0,48756.0
994,5,0,10.0,511884.0
995,17,0,5.0,160000.0
997,17,1,4.0,181000.0
998,17,0,11.0,145000.0
1000,9,0,23.0,40176.0
1003,5,2,4.0,85315.0
1004,4,2,18.0,92136.0
1005,17,0,3.0,82000.0
1006,17,1,9.0,180000.0
1007,9,2,2.0,13464.0
1008,9,2,8.0,40956.0
1009,17,0,8.0,230000.0
1010,9,2,10.0,80868.0
1012,9,2,3.0,28584.0
1013,17,0,7.0,520000.0
1014,9,1,8.0,53568.0
1015,3,0,21.0,156168.0
1016,9,3,26.0,127972.0
1021,17,2,3.0,204000.0
1022,5,2,6.0,111976.0
1023,3,0,3.0,55830.0
1024,5,0,3.0,89581.0
1025,9,0,6.0,106680.0
1028,17,2,7.0,236000.0
1030,3,0,5.0,117126.0
1034,9,0,4.0,39449.0
1036,17,0,20.0,112000.0
1038,17,0,11.0,90000.0
1040,17,0,16.0,130000.0
1041,17,0,10.0,122500.0
1042,9,2,4.0,32588.0
1043,17,0,4.0,91000.0
1044,13,2,6.0,52104.0
1046,3,0,25.0,234252.0
1047,9,0,7.0,53322.0
1049,17,2,7.0,150000.0
1050,17,0,20.0,400000.0
1051,17,0,0.5,120000.0
1052,16,0,0.5,251279.0
1056,3,0,0.5,46850.0
1057,17,1,15.0,650000.0
1060,9,1,3.0,327300.0
1062,9,0,7.0,172188.0
1063,17,0,4.0,240000.0
1067,16,0,3.0,602316.0
1068,7,0,2.0,117308.0
1069,3,0,17.0,101509.0
1070,17,2,3.0,92000.0
1073,9,2,8.0,164370.0
1074,17,2,7.0,95000.0
1075,9,2,4.0,447900.0
1076,17,1,0.5,45000.0
1078,5,0,2.0,16632.0
1079,3,0,15.0,140556.0
1082,12,0,10.0,35192.0
1083,16,2,0.5,43974.0
1084,3,0,6.0,81988.0
1086,5,1,2.0,49908.0
1088,17,2,16.0,140000.0
1090,16,0,5.0,113075.0
1091,17,0,1.0,110000.0
1097,17,1,10.0,100000.0
1099,8,1,5.0,76788.0
1100,17,0,5.0,85000.0
1102,16,0,4.0,113075.0
1103,17,2,7.0,230000.0
1104,17,0,8.0,165000.0
1105,17,2,3.0,180000.0
1106,2,2,10.0,110000.0
1107,9,1,5.0,31176.0
1108,2,3,7.0,32412.0
1109,17,1,22.0,120000.0
1111,17,0,3.0,85000.0
1112,8,2,0.5,42657.0
1115,17,1,12.0,250000.0
1116,4,2,18.0,159950.0
1118,17,0,24.0,130000.0
1119,3,2,11.0,100000.0
1120,17,0,2.0,140000.0
1121,3,1,18.0,64029.0
1124,10,0,3.0,33300.0
1126,9,1,0.5,18048.0
1129,17,0,4.0,130000.0
1130,13,2,22.0,73140.0
1131,2,1,17.0,37392.0
1132,6,2,3.0,64486.0
1133,17,0,18.0,280000.0
1134,17,0,3.0,93000.0
1137,17,1,4.0,170000.0
1138,13,2,3.0,63384.0
1140,9,0,15.0,44796.0
1141,17,0,7.0,170000.0
1145,17,2,6.0,115000.0
1150,1,1,0.5,47776.0
1151,9,2,10.0,22226.0
1152,10,2,15.0,125000.0
1154,17,0,7.0,100000.0
1155,17,2,2.0,151000.0
1156,4,2,6.0,42231.0
1157,3,0,0.5,48998.0
1159,9,1,8.0,60252.0
1161,17,1,6.0,200000.0
1162,17,0,7.0,159000.0
1163,3,0,1.0,54020.0
1164,9,2,7.0,110124.0
1167,9,2,6.0,37932.0
1168,17,0,3.0,140000.0
1170,17,0,10.0,115000.0
1171,17,0,9.0,55000.0
1172,1,1,3.0,51189.0
1174,17,0,4.0,70000.0
1175,17,3,2.0,218000.0
1176,17,2,32.0,170000.0
1177,17,0,10.0,155000.0
1178,17,0,30.0,355000.0
1179,17,0,3.0,155000.0
1181,17,0,2.0,100000.0
1183,17,0,2.0,90000.0
1184,6,0,4.0,753324.0
1185,17,0,4.0,150000.0
1186,17,0,20.0,115500.0
1187,7,1,0.5,20472.0
1188,3,0,2.0,70276.0
1189,17,0,32.0,250000.0
1190,9,0,6.0,69588.0
1191,13,1,17.0,182841.0
1193,17,0,7.0,140000.0
1195,16,0,6.0,109826.0
1197,17,0,2.0,100000.0
1201,13,1,16.0,91416.0
1202,9,0,4.0,63984.0
1203,9,0,10.0,30108.0
1206,9,0,1.0,7248.0
1209,9,2,12.0,70920.0
1210,17,2,10.0,300000.0
1212,17,0,37.0,126000.0
1214,7,2,8.0,47990.0
1217,17,0,5.0,155000.0
1218,17,0,10.0,180000.0
1219,1,2,7.0,46068.0
1220,16,0,6.0,65332.0
1221,16,1,10.0,62820.0
1224,3,3,7.0,136647.0
1226,17,1,7.0,185000.0
1228,17,0,5.0,66000.0
1229,17,0,5.0,90000.0
1230,4,2,2.0,38388.0
1231,3,0,22.0,106975.0
1232,17,0,18.0,300000.0
1233,3,0,12.0,78084.0
1234,3,0,18.0,105414.0
1235,4,2,4.0,66119.0
1237,9,1,10.0,118380.0
1238,16,0,6.0,100511.0
1240,8,0,2.0,39672.0
1241,7,1,5.0,383916.0
1242,3,0,12.0,281103.0
1244,17,0,2.0,300000.0
1245,17,1,2.0,243000.0
1246,2,0,3.0,24429.0
1247,9,0,23.0,121968.0
1248,3,0,8.0,200000.0
1252,17,0,19.0,130000.0
1254,6,0,0.5,21925.0
1255,3,0,9.0,71027.0
1257,15,1,13.0,15780.0
1259,16,0,0.5,43974.0
1264,17,0,6.0,55000.0
1267,5,1,10.0,101312.0
1269,17,0,19.0,230000.0
1270,17,1,23.0,300000.0
1271,17,0,14.0,220000.0
1274,12,1,3.0,37325.0
1275,9,0,7.0,136308.0
1276,9,0,2.0,34548.0
1279,3,0,5.0,67152.0
1280,13,0,6.0,85320.0
1281,9,0,7.0,58654.0
1284,17,0,5.0,88000.0
1286,17,3,7.0,167000.0
1287,9,0,5.0,86405.0
1292,9,0,3.0,11233.0
1293,17,0,3.0,73000.0
1295,5,2,30.0,895812.0
1296,17,0,26.0,190000.0
1297,5,0,2.0,54388.0
1298,17,0,31.0,305000.0
1299,17,1,10.0,165000.0
1301,15,0,4.0,18036.0
1302,6,0,1.0,8352.0
1303,17,0,0.5,94000.0
1304,3,0,2.0,70276.0
1305,11,2,5.0,41556.0
1308,17,0,4.0,120000.0
1309,5,1,22.0,59724.0
1310,16,1,29.0,314098.0
1311,9,0,11.0,134817.0
1313,8,0,3.0,53322.0
1316,3,2,8.0,85893.0
1317,16,2,6.0,64076.0
1318,3,0,6.0,78084.0
1319,17,0,10.0,200000.0
1320,9,2,1.0,57038.0
1321,17,0,2.0,230000.0
1322,16,2,2.0,52769.0
1323,17,0,2.0,107350.0
1324,17,0,2.0,86000.0
1329,17,0,5.0,115000.0
1330,3,1,4.0,51536.0
1331,16,0,7.0,100511.0
1332,9,2,11.0,124447.0
1333,17,2,5.0,210000.0
1334,17,1,26.0,195000.0
1335,9,2,9.0,58500.0
1336,17,0,0.5,89000.0
1338,17,0,6.0,125000.0
